ID,Rubrik,Beskrivning
479,S192 - Licensierade telenät,Verifiera att det licensierade telenät följer Förordningar och Föreskrifter i enlighet med PTSFS 2015:2 utgiven av PTS (Post- och Telestyrelsen).
480,S182 - Förväntad livslängd kommunikationsutrustning - Kat1,Verifiera att kommunikationsutrustning uppfyller kravet på förväntad livslängd som är >=15 år räknat från tidpunkten då den levererats till GE. Verifiera att kommunikationsutrustning uppfyller kravet på förväntad livslängd som är >=15 år räknat från tidpunkten då den levererats till GE. Verifiera att kommunikationsutrustning uppfyller kravet på förväntad livslängd som är >=15 år räknat från tidpunkten då den levererats till GE.
481,S183 - Inget batteribyte,Verifiera att Kommunikationsutrustningen är utformad så att om det ingår batteri ska de inte behöva bytas under Kommunikationsutrustningens livslängd.
482,S194 - Automatiskt hittar ny kommunikationsväg,Verifiera att Systemlösningen innehåller funktionalitet som automatiskt hittar ny kommunikationsväg till HES även om omkopplingar eller förändringar sker i kommunikationsnätet. Verifiera att Systemlösningen innehåller funktionalitet som automatiskt hittar ny kommunikationsväg till HES även om omkopplingar eller förändringar sker i kommunikationsnätet. Verifiera att Systemlösningen innehåller funktionalitet som automatiskt hittar ny kommunikationsväg till HES även om omkopplingar eller förändringar sker i kommunikationsnätet.
483,S30 - Mängd tillåtna felande mätare Kat1 - RISE,"Under Mätenheternas förväntade livslängd ska (S30) utfallen av Fel (som kräver mätarbyte) inte överstiga 0,75 % per år av installerad volym."
484,S30 - Mängd tillåtna felande mätare Kat2 - RISE,"Under Mätenheternas förväntade livslängd ska (S30) utfallen av Fel (som kräver mätarbyte) inte överstiga 0,75 % per år av installerad volym."
485,S28 - Livslängd Kat2,En Mätenhet ska (S28) ha en förväntad livslängd som är 15 år räknat från tidpunkten då den levererats till GE.
486,S182 - Förväntad livslängd kommunikationsutrustning - Kat2,Verifiera att kommunikationsutrustning uppfyller kravet på förväntad livslängd som är >=15 år räknat från tidpunkten då den levererats till GE. Verifiera att kommunikationsutrustning uppfyller kravet på förväntad livslängd som är >=15 år räknat från tidpunkten då den levererats till GE. Verifiera att kommunikationsutrustning uppfyller kravet på förväntad livslängd som är >=15 år räknat från tidpunkten då den levererats till GE.
487,S187 - Återställningstid efter strömavbrott max 60 min,Bryta spänningen på mätare i PMU testlabb. Slå på spänningen igen efter en timme.
488,B100 - Återställningstid efter strömavbrott,Bryta spänningen på mätare i PMU testlabb. Slå på spänningen igen efter en timme.
489,S186 - Återställningstid efter kommunikationsavbrott max 60 min,Bryt kommunikationslänken från mätare. Spänningen är kvar i mätare. Vänta en timma och slå på länken igen.
490,S34 - Per fas min/max/medelvärden / 15 min,Granska en mätares insamlade mätvärden från ett givet 15 min intervall.
491,S537 - Utformande av lösning,Granska installerad lösning och jämför med krav i 2.1 Teknisk lösning.
492,S590 - Tillgängligt gränssnitt för kundbokningar och mätarbyten,Hämta data om status för kundbokningar och mätarbyten genom tillgängligt gränssnitt.
493,S638 - Digitalt arbetssätt och ett mobilt arbetsorderverktyg,Skapa arbetsorder genom Generis för mätarbyte som ska skickas till MWF. Slutför arbetsordern i MWF.
494,S206 - Inkluderas i säkerhetskopiering,Uppgradera HES till nyare version. Kopiera databasen.
549,B110 - Katalogtjänst för behörighetsstyrning - verksamheten,"Verifiera att användare inte blir utloggad medan man arbetar i HES. 
(Detta är ett problem som upplevs i befintlig ACM och som kopplats till AD inloggning)."
583,S38 - Grid snapshot - GE värden,"Verifiera att grid snapshot presenteras i HES för de händelser som har stöd för grid snapshot. 
Så som felaktig effektriktning. Ström L1	0,1	A
Ström L2	0,41	A
Ström L3	16	A. Spänning L1	231	V
Spänning L2	228	V
Spänning L3	226	V. Total Aktiv effekt inmatning	0,132	kW
Aktiv effekt inmatning L1	0,004	kW
Aktiv effekt inmatning L2	0,077	kW
Aktiv effekt inmatning L3	0	kW. Total Aktiv effekt utmatning	0	kW
Aktiv effekt utmatning L1	0	kW
Aktiv effekt utmatning L2	0	kW
Aktiv effekt utmatning L3	3,68	kW. Total Reaktiv effekt inmatning	0	kvar
Reaktiv effekt inmatning L1	0	kvar
Reaktiv effekt inmatning L2	0	kvar
Reaktiv effekt inmatning L3	0	kvar. Total Reaktiv effekt utmatning 	0,115	kvar
Reaktiv effekt utmatning L1	0,023	kvar
Reaktiv effekt utmatning L2	0,047	kvar
Reaktiv effekt utmatning L3	0,045	kvar."
584,S240 - Transaktionssäkerhetsmetod,Granska transaktionssäkerhet.
585,B112 - PKI,
586,B117 - Mätare med intrångsskydd och intrångsdetektering,
587,B118 - Analysverktyg för intrång,
588,B120 - Segmenterad kommunikationslösning,Verifiera att Kommunikationslösningen är segmenterad.
589,B121 - Säkerhetsstandarder,
590,S538 - Tillhandahålla lösningsspecifikationer,Granska lösningsbeskrivningar.
591,S9 - Anrop från andra verksamhetssystem,Deaktivera kundgränssnitt från annat verksamhetssystem. Aktivera kundgränssnitt från annat verksamhetssystem.
592,S648 - Godkända mätvärden i MDMS - verksamhet,"Verifiera att det finns en rapport som kan användas som underlag för godkännande av installation. Verifiera att rapporten innehåller förljande information:
För varje installation kan det påvisas att timvärden levererats till MDMS under 25 konsekutiva timmar utan luckor inom 3 dygn efter installationen."
593,S119 - Automatisk export av energivärden,Vänta tills tiden för export inträffar.
594,S119 - Manuell export av energivärden,Starta en export från HES.
595,S260 - Alla delar täcks,Granska dokumentationen.
596,S143 - loggning av händelser,Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista.
608,S218 - Kommunikationen med Collection Manager API (WFM) är säker och tillförlitlig,Verifiera att trafiken går via https och att ingen obehörig har åtkomst att hämta ut data från Collection Manager API (WFM).
609,B507 - Systemdokumentation,Verifiera att Systemdokumentation och övrig dokumentation är på svenska och levereras i elektroniskt format.
610,HAN - Aktivering av HAN-port via Mina Sidor / Digitala kundgränssnitt LYCKAS,"Aktivera HAN-porten via Mina Sidor. Verifiera i CM att HAN-porten blivit aktiverad. I Abalon, verifiera att det skapats upp en ny ”kundhändelse”. Verifiera i CAB att det skapats en lilläggsprodukt på kontraktet. I Mina Sidor, verifiera att kunen fått informaiton om att HAN-porten är aktiv. Verifiera i Generis att det på anläggningen finns information om att HAN-porten är aktiv."
611,HAN - Aktivering av HAN-port via Mina Sidor / Digitala kundgränssnitt MISSLYCKAS,"Bryt kommunikationen till mätaren. Aktivera HAN-porten via Mina Sidor. Verifiera i CM att HAN-porten inte blivit aktiverad. I Abalon, verifiera att det skapats upp en ny ”kundhändelse”. Verifiera i CAB att det INTE skapats en tilläggsprodukt på kontraktet. I Mina Sidor, verifiera att kunden INTE fått information om att HAN-porten är aktiv. Verifiera i Generis att det på anläggningen finns information om att HAN-porten är aktiv.
Linda kollar med P-E. Kunden meddelas att HAN-portsaktiveringen har misslyckats."
612,HAN - Deaktivering av HAN-port via Mina Sidor / Digitala kundgränssnitt LYCKAS,"Deaktivera HAN-porten via Mina Sidor. Verifiera i CM att HAN-porten blivit deaktiverad. I Abalon, verifiera att det skapats upp en ny ”kundhändelse”. Verifiera i CAB att  tilläggsprodukten på kontraktet avslutats/tagits bort. I Mina Sidor, verifiera att kunen fått informaiton om att HAN-porten är deaktiverad. Verifiera i Generis att det på anläggningen finns information om att HAN-porten är deaktiverad."
613,HAN - Deaktivering av HAN-port via Mina Sidor / Digitala kundgränssnitt MISSLYCKAS,"Bryt kommunikationen till mätaren. Deaktivera HAN-porten via Mina Sidor. Verifiera i CM att HAN-porten inte blivit aktiverad. I Abalon, verifiera att det skapats upp en ny ”kundhändelse”. Verifiera i CAB att tilläggsprodukt på kontraktet INTE tagits bort. I Mina Sidor, verifiera att kunden inte fått information om att HAN-porten är deaktiverad. Verifiera i Generis att det på anläggningen finns information om att HAN-porten är deaktiverad. Kunden meddelas att deaktiveringen har misslyckats."
614,Prestandatest - Integration mot Generis,Starta simulation av data från 275000 mätare. Öka simulering med 50% till 420000 mätare.
615,S136 - Ställa in antalet decimaler,Verifiera att antalet decimaler som visas motsvarar det antal decimaler som är konfigurerade att visas för ett mätvärde. Verifiera att antalet decimaler som visas motsvarar det antal decimaler som är konfigurerade att visas för ett mätvärde.
616,S89 - Installation av ny mätenhet via integration,"Information gällande strukturdata för nyuppsättning skickas från integrationsgränsitten Mint till Collection Manager. Verifiera att information är angiven på användarpunkten i Collection Manager motsvarar det som är specificerat i Arbetsordern. En kvittens skickas till Generis att mätaren är uppsatt i Collection Manager. Kontrollera att användarpunkten visas under rätt koordinater i kartvyn i Vision. Kontrollera att mätaren har korrekt profil samt att Energivärden, PQ-värden och GSM-diagnostik pushas från mätaren med korrekt intervall."
618,S89 - Nedtagning av mätenhet via integration,Information gällande strukturdata för nedtagning av en mätenhet skickas från integrationsgränsitten Mint till Collection Manager. Verifiera att mätenhet är borttagen i Collection Manager samt ej har koppling användarpunkten .
619,S89 - Uppdatering av mätpunkt i CM,Information gällande strukturdata för uppdatering av en mätenhet skickas från integrationsgränsitten Mint till Collection Manager. Verifera att information som skall uppdateras via Mint också har ändrats på aktuell användarpunkt.
620,S89 - Ny Mätenhet sätts upp i CM och tas ned i ACM - Nedtagning misslyckas i ACM,Initiera en nyuppsättning av en mätenhet i CM och säkerhetställ att mätenheten finns kvar i ACM då nyuppsättning genomförs i CM. Meddelande skickas från CM till Generis gällande att mätenhet i ACM ej är nedtagen.
621,S89 - Ny Mätenhet sätts upp i CM och tas ned i AiMiR - Nedtagning misslyckas i AiMiR,Initiera en nyuppsättning av en mätenhet i CM och säkerhetställ att mätenheten finns kvar i AiMiR då nyuppsättning genomförs i CM. De misslyckade nedtagningarna rapporteras till Nyckelhålet. Mail skickas till Aimir-lådan.
622,S89 - Ny Mätenhet sätts upp i CM och tas ned i ACM - Uppsättning misslyckas i CM,Initiera en nyuppsättning av en mätenhet i CM och säkerhetställ att mätenheten redan finns kopplad till en annan anläggning i CM. Meddelande skickas från CM till Generis gällande att mätenhet ej är skapad i CM. Verifiera status på arbetsordern i Generis.
623,S89 - Ny Mätenhet sätts upp i CM och tas ned i AiMiR - Uppsättning misslyckas i CM,Initiera en nyuppsättning av en mätenhet i CM och säkerhetställ att mätenheten finns kvar i Aimir då nyuppsättning genomförs i CM. Meddelande skickas från CM till Generis gällande att mätenhet ej är skapad i CM.
624,S89 - Befintlig Mätenhet byts i CM  -  Mätarbyte misslyckas i CM,Initiera ett mätarbyte av en befintlig mätenhet i CM till en Ny Mätenhet. Ange felaktigt serienummer för den befintliga mätaren i Arbetsordern. Meddelande skickas från CM till Generis gällande att mätenhet ej är skapad i CM. Verifiera status på arbetsordern i Generis.
625,S89 - Ny mätenhet sätts upp i CM - Uppsättning misslyckas i CM,"Initiera nyinstallation av en mätenhet i CM.
Ange ett serienummer för mätenheten som redan är kopplad till en anläggning i arbetsordern. Meddelande skickas från CM till Generis gällande att mätenhet ej är skapad i CM. Verifiera status på arbetsordern i Generis."
626,S89 - Mätenhet tas ned i CM - Nedtagning misslyckas i CM,Initiera en nedtaging av en mätenhet i CM där obligatorisk information i arbetsordern inte är komplett. Meddelande skickas från CM till Generis gällande att mätenhet ej är borttagen i CM. Verifiera status på arbetsordern i Generis.
641,S180 - Testmiljö 15 samtidiga användare,
642,B106 - Hårdvara för användargränssnittet,"HES ska (B106) vara utformad för att kunna användas med olika typer av datorer, datorplattor och smarta telefoner, med olika arkitektur och operativsystem."
643,B115 - Info i loggposten,
644,B116 - Centralt loggningssystem,
645,S239 - Transaktionssäkerhet,Veriifera att kommunikation sker taransaktionssäkert.
646,S241 - Autentisering mot angränsande system,Verifiera att autentisering används då Mätsystemet interagerar med angränsande system.
647,S242 - Skydd av mätenheterna,Verifiera att Mätsystemet är skyddat mot intrång via Mätenheterna.
648,S243 - Skydd mot intrång via kommunikationslösningen,Verifiera att  den av Leverantören föreslagna Lösningen är skyddad mot intrång och extern åtkomst av data via kommunikationslösningen.
649,S245 - Mätsystemet utvecklas enligt Branschpraxis,"Verifiera att Leverantören utvecklar lösningen i enlighet med gällande Branschpraxis för säker och kvalitativ kod, såsom SDL, OWASP eller likvärdigt."
650,S256 - Härdning,Alla ingående delar i Mätsystemet ska (S256) vara härdade av Leverantören.
651,S261 - Fjärråtkomst,"Verifiera att dellösningar eller funktionalitet för fjärråtkomst som ingår i Mätsystemet skyddas mot obehörig användning, insyn och förändring."
652,S262 - Kontrollutrustning,Verifiera att Kontrollutrustning i förekommande fall då de ingår i Mätsystemet omfattas av säkerhetskrav på samma sätt som annan utrustning.
653,S221 - Common Information Model (CIM),Undersök att meddelandens innehåll från HES.
654,HAN-port status visas i kundgränssnitt,Logga in med användaren. Gå till anläggningsdetaljer för CAB anläggningen. Klicka på Visa detaljer under relevant anläggning.
655,Aktivering av HAN-port från kundgränssnitt,Logga in med användare. Navigera till anläggningsdetaljer. Klicka på Aktivera HAN-port. Kontrollera på anläggning i CAB att tilläggsprodukten är tillagd på rätt anläggning. Kontrollera att ett ärende skapats i Abalon. Kontrollera anläggning i Generis. Kunden informeras när aktiveringen är genomförd.
656,Inaktivering av HAN-port från kundgränssnitt,Logga in med användare. Navigera till anläggningsdetaljer. Klicka på Inaktivera HAN-port. Kontrollera på anläggning i CAB att tilläggsprodukten är borttagen på rätt anläggning. Kontrollera att ett ärende skapats i Abalon. Kontrollera anläggning i Generis. Kunden informeras när inaktiveringen är genomförd.
668,Systemförvaltning,Verifiera åtkomst till HES delsystem som en användare med relevant behörighet.
669,HAN-port status visas i kundgränssnitt - Mätare svarar ej,Logga in med användaren. Gå till anläggningsdetaljer för CAB anläggningen. Klicka på Visa detaljer under relevant anläggning.
673,GE0121B  - Förändring av  kunduppgifter,CAB skickar förändrad information om kundens namn via integrationen. CAB skickar förändrad information om kundens typ via integrationen. CAB skickar förändrad information om kundens adress via integrationen. CAB skickar förändrad information om kundens telefonnummer via integrationen. CAB skickar förändrad information om kundens e-post via integrationen.
679,Faktura i CAB,Verifiera at kvartsvärden visas som timvärden som vnligt på Fakturan. Verifiera att microproduktion visas tydligt och korrekt på fakturan.
680,Energivärden till Generis,Kontrollera att värden inkommer på E15. Kontrollera att förbrukning beräknas på E16. Kontrollera att värden inkommer på E17. Kontrollera att förbrukning beräknas på E18. Kontrollera att beräkningen av E01 (beräknad) fungerar. Kontrollera att beräkningen av E02 (beräknad) fungerar.
681,Larm och händelser i CM,Kontrollera att larm uppstår i CM när klockan inte ställs med automatik – misslyckas (klockfel). Kontrollera att larm uppstår i CM när klockan ställs varje dygn under 5 dagar under sista 30 dagarna(mer än 7 sekunder). Kontrollera att larm uppstår i CM för avvikelse vid självdiagnos. Kontrollera att larm uppstår i CM vid felaktig effektriktning på en mätare som har en profil som ej avser att anläggningen är en  produktionsanläggning.
685,B114 - Implementation av tidssynk,Kontrollera tillsammans med driftpartner hur implementationen ser ut.
686,05 Skapa anläggning,Kontrollera att man kan skapa en för EL.
687,06 Skapa en kommunikationspunkt,Skapa en kommunikationspunkt för EL.
688,16 Manuell insamling,Kontrollera att manuell insamling fungerar för Omnia emeter adapter. Gör enstaka insamling och via batch.
689,14 Kommunikationskontroll (per adaptertyp),Kontrollera att kommunikationskontroll fungerar för Omnia emeter adapter.
690,15 Hämta aktuell mätarställning (per adaptertyp),Kontrollera att det går att hämta aktuell mätarställning för Omnia emeter adapter.
691,"24 Kontrollera funktionen ""Kvittera osäkra värden""",Kvittera för enskild EL. Kvittera för flera EL.
692,01 Kontrollera behörighet (skapa användare),"Skapa en användare och tilldela den behörigheter för aktör Göteborg Energi. Skapa en användare och tilldela den behörigheter för aktör Göteborg Energi, inloggad som vanlig användare."
693,04 Kontrollera behörighet (ta bort användare),"Ta bort en användare för aktör Göteborg Energi, inloggad som vanlig användare. Ta bort en användare i systemet för aktör Göteborg Energi."
694,02 Kontrollera behörighet (skapa nya roller),"Skapa en ny roll för aktör Göteborg Energi, inloggad som vanlig användare."
695,03 Kontrollera behörighet (ta bort roller),"Ta bort en roll för aktör Göteborg Energi, inloggad som vanlig användare. Ta bort roller i systemet för aktör Göteborg Energi."
696,17 Process (Pågående jobb),Kontrollera att pågående jobb visas under processfliken i CM.
697,18 Process (Redan kört jobb),Kontrollera att man kan söka efter ett redan kört jobb under jobbhistorikfliken.
698,26 Mätarbyte,Gör ett mätarbyte 1 fas till 1 fas. Gör ett mätarbyte 3 fas till 3 fas. Gör ett mätarbyte CT till CT.
699,27 Ta bort mätarställning,Ta bort en mätarställning på EL.
700,29 Estimera mätarställning,Estimera mellan två EL mätarställningar.
701,36 Exporter,Exportera värde för EL.
702,32 Larm på mätvärden,Kontrollera larm för EL visas i vyn. Välj typ EL Mätarställning saknas. Välj typ EL Osäkert värde. Kontrollera att man kan exportera till CSV/Excel.
703,22 Kontrollera sökfunktion,Kontrollera att sökfunktionen fungerar för utrustning. Kontrollera att sökfunktionen fungerar för anläggning. Kontrollera att sökfunktionen fungerar för kommunikationspunkt.
704,25 Kopiera föregående dag/vecka,"Kopiera värden från föregående dag, avstängd anläggning. Kopiera värden från föregående vecka, avstängd anläggning. Kopiera värden från föregående dag, aktiv anläggning. Kopiera värden från föregående vecka, aktiv anläggning."
705,Nyinstallation,Gör en nyinstallation på en 1 fas mätare i CM. Gör en nyinstallation på en 3 fas mätare i CM. Gör en nyinstallation på en CT mätare i CM.
706,Nedtagning,Gör en nedtagning av en 1 fas mätare i CM. Gör en nedtagning av en 3 fas mätare i CM. Gör en nedtagning av en CT mätare i CM.
707,Verifiera profiler,Verifiera att relevanta profiler för anläggningar finns med. Verifiera att relevanta profiler för mätare finns med. Verifiera att relevanta profiler för kommunikationspunkter finns med. Gör profilbyte.
708,Larm och Händelser,Klockan ställs  inte med automatik – misslyckas (klockfel). Avvikelse vid självdiagnos. Felaktig effektriktning.
709,Kontrollera kopplingen till databasen,Kontrollera att applikationen kan nå databasen via sql+ eller tnsping. kontrollera att applikationen kan accessa databasen som förväntat genom att exempelvis göra sökningar i applikationen.
710,Hantering solceller,"Nyinstallation av konsumtion, där produktion installeras vid senare tillfälle. Nyinstallation av konsumtion och produktion vid samma tillfälle. Mätarbyte konsumtion/produktion till konsumtion/produktion. Nedtagning av konsumtion och produktion. Nedtagning av endast produktion."
711,Brytarfunktioner,Läs brytarstatus från CM. Utför frånkoppling från CM. Utför tillkoppling från CM. Visa brytarhistorik i CM. Verifiera att CT mätare ej går att fjärrmanövrera.
712,HAN-port,Läs HAN-portsstatus i CM. Aktivera HAN-port från CM. Deaktivera HAN-port från CM.
713,Baseline prestanda,"Mät prestandan, antingen manuellt eller med verktyg.

Sökning, testa att söka efter ""*"" under ""Sök, Utrustning, Utrustnings ID"" - mät tiden. Mät prestandan, antingen manuellt eller med verktyg.

Manuell bläddring i trädet, öppna trädet under ""Anläggningar, Göteborg Energi, Anläggningar"". Mät prestandan, antingen manuellt eller med verktyg.

Vid användning av prestandamätningsverktyg, om möjligt testa 50 eller fler samtidiga användare."
